"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/10 1:55:39 AM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Rarely","Poor","Weight loss","Never","Moderate","Have lost interest","Frequently","Yes","Yes","Occasionally","Yes","1-3 days","Improving productivity","No significant change","Yes","Yes","Used technology less","Difficulty staying disconnected","Set specific time limits for technology use","4","Frequently","No","I prefer to cope alone"
"2023/10/10 2:13:26 AM GMT+6","I Agree","23","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Sadness","2","Almost all the time","Frequently","Good","Weight gain","Occasionally","Moderate","Have lost interest","Frequently","Yes","Yes","Frequently","Yes","Less than a day","Improving productivity","Relaxed and refreshed","Yes","Yes","No change","Social pressure to stay connected","Engage in outdoor activities","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/10 10:33:43 PM GMT+6","I Agree","31","Male","Student","5-6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","More than 6 hours","Yes","Entertainment (videos, movies, music)","Joy","1","Almost all the time","Almost all the time","Very Poor","Increased appetite","Occasionally","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","I sleep","1","Never","No","I sleep very much"
"2023/10/11 2:50:16 PM GMT+6","I Agree","23","Male","Employed (full-time)","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","2","Occasionally","Frequently","Fair","Weight loss","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Rarely","No","I prefer to cope alone"
"2023/10/11 3:09:49 PM GMT+6","I Agree","18","Female","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Frustration","2","Frequently","Almost all the time","Poor","No changes","Frequently","Very low","Have lost interest","Frequently","Yes","Yes","Occasionally","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","No change","Difficulty staying disconnected","Talk to friends or family about technology-related stress","3","Rarely","Yes","I seek support from friends or family"
"2023/10/11 3:09:56 PM GMT+6","I Agree","25","Male","Employed (part-time)","5-6 hours","Smartphone","Often","Occasionally","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Not at all","Occasionally","Fair","Increased appetite","Rarely","High","Still enjoy activities","Occasionally","No","Yes","Frequently","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","4","Frequently","Yes","I seek support from friends or family"
"2023/10/11 3:13:59 PM GMT+6","I Agree","20","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","4","Occasionally","Occasionally","Good","Increased appetite","Rarely","High","Still enjoy activities","Rarely","No","No","Almost daily","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","4","Always","Yes","I seek support from friends or family"
"2023/10/11 3:28:56 PM GMT+6","I Agree","24","Female","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","3","Frequently","Occasionally","Poor","No changes","Frequently","Low","Have lost interest","Almost all the time","Yes","Yes","Rarely","Yes","Less than a day","Noticing negative effects on mental health","No significant change","No","No","No change","Boredom","Take short breaks from screens","3","Never","No","I prefer to cope alone"
"2023/10/11 3:30:02 PM GMT+6","I Agree","17","Female","Student","1-2 hours","Smartphone","Often","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","3","Frequently","Occasionally","Fair","Increased appetite","Frequently","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Engage in outdoor activities","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/11 3:30:26 PM GMT+6","I Agree","16 years, 11 months","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","2","Frequently","Frequently","Fair","No changes","Occasionally","Low","Have lost interest","Frequently","No","Yes","Rarely","No","Less than a day","Forced by my mom","Anxious or stressed","No","No","No change","Boredom","Spending time with friends at school and coaching","4","Never","Yes","I prefer to cope alone"
